Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		
4SM0d	1	18	1	x				15	1	4	2	4	1		1		3						x	x	x	x	x	x	x	x	x	1	1	1					2	2	2					x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	5	6000			1	4	2	4
			2	x				15	1	4	2	4	2		1		3						x	x	x	x	x	x	x	x	x	1		1	1				2		2	2				x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	6	3000			1	4	2	4
			3	x				15	1	4	2	4	3		1		3						x	x	x	x	x	x	x	x	x	1		1		1			2		2		2			x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	7	3000			1	4	2	4
			4	x				15	1	4	2	4	4		1		3						x	x	x	x	x	x	x	x	x	1		1			1		2		2			2		x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	2	5	6000			1	4	2	4
			5			x		15	1	4	2	4						1		3			x	x	x	x	x	x	x	x	x		1		1	1	1	1		2		2	2	2		x									strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	2	7	3000			1	4	2	4
			6			x		15	1	4	2	4																								1	1						2	2			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	2	9	3000			1	4	2	4
			7			x		15	1	4	2	4																					1		1					2		2					x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	3	5	6000			1	4	2	4
			8			x		15	1	4	2	4																								1	1						2	2			x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	3	8	3000			1	4	2	4
			9			x		15	1	4	2	4																					1		1					2		2					x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	3	9	3000			1	4	2	4
																																																																												4	5	6000			1	4	2	4
																																																																												4	6	3000			1	4	2	4
																																																																												4	8	3000			1	4	2	4
