Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		
Skirmish (ban fly/DD, 2 player, 3-Aug-03, midnight design)	4	4	1	x				25	1	2	2	2	1		1								x	x	x	x		x	x	x		1		1												x									avg			x	x							x	3300	3500	4	1000	2000	7	330	1000	3	1	3	4500			1	2	2	2																																																																																																		
			2	x				25	1	2	2	2	2		1								x	x	x	x		x	x	x		1		1												x									avg			x	x							x	3300	3500	4	1000	2000	7	330	1000	3	2	4	4500			1	2	2	2																																																																																																		
			3			x		15	1	2	2	2						1									x						1		1	1	1	2									x		x				x	x	strong								x				5000	7000	8	1500	2000	2	330	1500	5	3	5	9000			1	2	2	2																																																																																																		
			4			x		15	1	2	2	2						1									x						1		1	1	1	2									x		x				x	x	strong								x				5000	7000	8	1500	2000	2	330	1500	5	3	6	9000			1	2	2	2																																																																																																		
			5			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	40000	1	8000	9150	10	350	2000	3	3	7	9000			1	2	2	2																																																																																																		
			6			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	40000	1	8000	9150	10	350	2000	3	4	5	9000			1	2	2	2																																																																																																		
			7			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	40000	1	8000	9150	10	350	2000	3	4	6	9000			1	2	2	2																																																																																																		
																																																																												4	7	9000			1	2	2	2																																																																																																		
																																																																												5	6	14000			1	2	2	2																																																																																																		
																																																																												6	7	14000			1	2	2	2																																																																																																		
																																																																												7	5	14000			1	2	2	2																																																																																																		
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
Skirmish (ban fly/DD, 2 player, 3-Aug-03, midnight design)	8	9	1	x				25	1	2	2	2	1		1								x	x	x	x		x	x	x		1		1												x									avg			x	x							x	3300	3500	4	1000	2000	4	330	1000	2	1	3	4500			1	2	2	2																																																																																																		
			2	x				25	1	2	2	2	2		1								x	x	x	x		x	x	x		1		1												x									avg			x	x							x	3300	3500	4	1000	2000	4	330	1000	2	2	4	4500			1	2	2	2																																																																																																		
			3			x		15	1	2	2	2						1									x						1		1	1	1	2									x		x				x	x	strong								x				5000	7000	8	1500	2000	2	330	1500	5	3	5	11000			1	2	2	2																																																																																																		
			4			x		15	1	2	2	2						1									x						1		1	1	1	2									x		x				x	x	strong								x				5000	7000	8	1500	2000	2	330	1500	5	3	6	11000			1	2	2	2																																																																																																		
			5			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	60000	1	8000	9150	10				3	7	11000			1	2	2	2																																																																																																		
			6			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	60000	1	8000	9150	10				4	5	11000			1	2	2	2																																																																																																		
			7			x		25	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x		x				x	x	strong		x				x			x			10000	60000	1	8000	9150	10				4	6	11000			1	2	2	2																																																																																																		
																																																																												4	7	11000			1	2	2	2																																																																																																		
																																																																												5	6	16000			1	2	2	2																																																																																																		
																																																																												6	7	16000			1	2	2	2																																																																																																		
																																																																												7	5	16000			1	2	2	2																																																																																																		
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
